NAME,poverty_rate_percent
Alabama,15.7
Alaska,10.5
Arizona,12.6
Arkansas,16.0
California,12.2
Colorado,9.3
Connecticut,9.5
Delaware,11.3
District of Columbia,16.5
Florida,12.4
Georgia,13.4
Hawaii,9.3
Idaho,10.7
Illinois,11.5
Indiana,11.9
Iowa,10.3
Kansas,11.2
Kentucky,16.1
Louisiana,18.6
Maine,10.5
Maryland,9.2
Massachusetts,9.8
Michigan,12.7
Minnesota,9.2
Mississippi,18.7
Missouri,12.7
Montana,11.7
Nebraska,9.9
Nevada,12.5
New Hampshire,7.2
New Jersey,9.5
New Mexico,17.6
New York,13.9
North Carolina,12.9
North Dakota,10.7
Ohio,13.1
Oklahoma,14.3
Oregon,11.9
Pennsylvania,11.8
Rhode Island,11.3
South Carolina,13.3
South Dakota,11.9
Tennessee,13.4
Texas,14.0
Utah,8.9
Vermont,9.8
Virginia,9.9
Washington,9.8
West Virginia,16.8
Wisconsin,10.3
Wyoming,10.9
Puerto Rico,40.5
